Titolo,Autori,Anno,Tipo,Editore,Pagine,Tag,Info aggiuntive
Università e impresa,"Lacaita, Carlo G.",2008,Articolo in rivista,«Annali di storia delle università italiane»,9-21,Università,Vol. 12
Una sede sofferta. Dalla preesistenza a un nuovo insediamento urbano,"Ricci, Giuliana",2008,Articolo in rivista,«Annali di storia delle università italiane»,27-44,Architettura,Vol. 12
Il Politecnico alla Bovisa e la rinascita del quartiere operaio (1970-2008),"Dezzi Bardeschi, Marco",2008,Articolo in rivista,«Annali di storia delle università italiane»,59-74,Politecnico,Vol. 12
Un campus virtuale,"Irace, Fulvio",2008,Articolo in rivista,«Annali di storia delle università italiane»,45-58,Campus,Vol. 12
La genesi della questione ambientale e l'incipit sul Politecnico di Milano,"Sacchi, Evandro",2008,Articolo in rivista,«Annali di storia delle università italiane»,75-100,Politecnico; Ambiente,Vol. 12
Storia dell'Università di Sassari,"Mattone, Antonello",2010,Volume miscellaneo,"Ilisso, Nuoro",N/D,Università; Storia,
Collegi studenteschi a Roma nel Quattrocento. Gli Statuti della «Sapienza Nardina»,"Esposito, Anna; Frova, Carla",2008,Volume miscellaneo,"Viella, Roma",224,Vita studentesca; Storia,
Il miraggio della concordia. Documenti sull'architettura e la decorazione del Bo e del Liviano: Padova 1933-1943,"Nezzo, Marta",2008,Volume miscellaneo,"Canova, Treviso",900,Architettura; Padova,
Il cantiere e i documenti: l'Archivio dei Consorzi edilizi 1903-1973,"Penzo Doria, Gianni",2008,Articolo in volume,"Canova, Treviso",29-39,Architettura,"In: Nezzo, Marta (a cura di), Il miraggio della concordia. Documenti sull'architettura e la decorazione del Bo e del Liviano: Padova 1933-1943, Treviso, Canova, 2008, pp. 900"
Introduzione ai testi,"Bernabei, Franco",2008,Articolo in volume,"Canova, Treviso",41-89,Generale,"In: Nezzo, Marta (a cura di), Il miraggio della concordia. Documenti sull'architettura e la decorazione del Bo e del Liviano: Padova 1933-1943, Treviso, Canova, 2008, pp. 900"
Storia e storie del cantiere,"Dal Piaz, Vittorio",2008,Articolo in volume,"Canova, Treviso",91-204,Storia; Architettura,"In: Nezzo, Marta (a cura di), Il miraggio della concordia. Documenti sull'architettura e la decorazione del Bo e del Liviano: Padova 1933-1943, Treviso, Canova, 2008, pp. 900"
Il gioco delle parti nel teatro artistico universitario,"Nezzo, Marta",2008,Articolo in volume,"Canova, Treviso",205-269,Università; Teatro,"In: Nezzo, Marta (a cura di), Il miraggio della concordia. Documenti sull'architettura e la decorazione del Bo e del Liviano: Padova 1933-1943, Treviso, Canova, 2008, pp. 900"
Lo spirito gregario. I gruppi universitari fascisti tra politica e propaganda (1930-1940),"Duranti, Simone",2008,Monografia,"Donzelli, Roma",403,Università; Fascismo,
Lo spirito curioso. I gruppi universitari prova prova tra politica e propaganda (1930-1940),"Duranti, Simonetta",2008,Monografia,"Donzelli, Roma",403,Università; Fascismo,
